Cap Fiscal Year,Cap Type,Employer (Petitioner) Name,Industry 1,Industry 2,Occupation 1,Occupation 2,Petitioner City,Petitioner State,Petitioner ZIP Code,Tax ID,Initial Approval (Workers),Continuing Approval (Workers),Total Approval,Initial Denial (Workers),Continuing Denial (Workers),Total Denial,Worksite State,Consular Processed,Hourly Wage
2020,2nd Half,B & B ENTERPRISES,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Madisonburg,Pennsylvania,16852,4736,20,0,20,0,0,0,Pennsylvania,Yes,$9.99 and under
2020,2nd Half,B & G COMPLETE LANDSCAPING & FENCE,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Brighton,Colorado,80602,5109,23,0,23,0,0,0,Colorado,Yes,$16.00 - $17.99
2020,Exempt,B & J SEAFOOD CO INC,31-33,Manufacturing,51,Production Occupations,New Bern,North Carolina,28564,6253,0,24,24,0,0,0,North Carolina,No,$9.99 and under
2020,2nd Half,B & M CONCRETE INC,23,Construction,47,Construction and Extraction Occupations,Longmont,Colorado,80504,8194,15,0,15,0,0,0,Colorado,Yes,$20.00 and more
2020,1st Half,B A Y HOSPITALITY CLEANING SVCS IN,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,North Bay Village,Florida,33141,8362,300,0,300,0,0,0,Florida,Yes,$10.00 - $11.99
2020,1st Half,B DEMICHELE INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Media,Pennsylvania,19063,3651,8,0,8,0,0,0,Pennsylvania,Yes,$14.00 - $15.99
2020,2nd Half,B H LANDSCAPING INC DBA US LAWNS O,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lowell,Arkansas,72745,3308,0,20,20,0,0,0,Arkansas,Yes,$12.00 - $13.99
2020,2nd Half,B H LANDSCAPING INC DBA US LAWNS O,56,Administrative and Waste Services,49,"Installation, Maintenance, and Repair Occupations",Lowell,Arkansas,72745,3308,1,0,1,0,0,0,Arkansas,Yes,$16.00 - $17.99
2020,Exempt,B ORIGINAL FOODS LLC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Bartow,Florida,33830,2433,4,0,4,0,0,0,Florida,No,$9.99 and under
2020,2nd Half,B&B CONTRACTING INC,23,Construction,47,Construction and Extraction Occupations,Aberdeen,South Dakota,57401,6619,5,0,5,0,0,0,South Dakota,Yes,$12.00 - $13.99
2020,2nd Half,B&B PARTY RENTALS OF NJ INC,53,Real Estate and Rental and Leasing,53,Transportation and Material Moving Occupations,Jackson,New Jersey,8527,1201,15,0,15,0,0,0,New Jersey,Yes,$14.00 - $15.99
2020,Exempt,B&B PARTY RENTALS OF NJ INC,53,Real Estate and Rental and Leasing,53,Transportation and Material Moving Occupations,Jackson,New Jersey,8527,1201,0,12,12,0,0,0,New Jersey,No,$16.00 - $17.99
2020,Exempt,B&H MASONRY INC,23,Construction,47,Construction and Extraction Occupations,Aberdeen,South Dakota,57401,2989,0,2,2,0,0,0,South Dakota,No,$14.00 - $15.99
2020,1st Half,B&J CONCESSIONS LLC DBA B&J CONCES,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Peoria,Arizona,85381,1861,5,0,5,0,0,0,Arizona,Yes,$12.00 - $13.99
2020,2nd Half,BABA GEMS CORP D/B/A EFFY JEWELRY,44-45,Retail Trade,41,Sales and Related Occupations,Ketchikan,Alaska,99901,1573,6,0,6,0,0,0,Alaska,Yes,$14.00 - $15.99
2020,2nd Half,BACHMAN S INC,44-45,Retail Trade,37,Building and Grounds Cleaning and Maintenance Occupations,Minneapolis,Minnesota,55419,8088,6,0,6,0,0,0,Minnesota,Yes,$20.00 and more
2020,2nd Half,BADDOCS INC DBA MONTANOS RESTAURAN,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,North Truro,Massachusetts,2652,1643,0,0,0,12,0,12,Massachusetts,Yes,$14.00 - $15.99
2020,2nd Half,BADGER EVERGREEN FARMS LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Merrill,Wisconsin,54452,7645,5,0,5,0,0,0,Wisconsin,Yes,$14.00 - $15.99
2020,2nd Half,BADGER OILFIELD CONSTRUCTION LLC,23,Construction,47,Construction and Extraction Occupations,Watford City,North Dakota,58854,2892,0,0,0,20,0,20,North Dakota,Yes,$20.00 and more
2020,2nd Half,BAHENA CONSTRUCTION COMPANY INC,23,Construction,47,Construction and Extraction Occupations,Winnsboro,Texas,75494,5160,20,0,20,0,0,0,Texas,Yes,$18.00 - $19.99
2020,1st Half,BAILEY & HARLEY SVCS LLC,21,"Mining, Quarrying, and Oil and Gas Extraction",47,Construction and Extraction Occupations,Valdosta,Georgia,31606,2918,10,0,10,0,0,0,Texas,Yes,$14.00 - $15.99
2020,1st Half,BAKER GROUNDS CARE LLC DBA THE GRO,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,El Dorado,Kansas,67042,9649,5,0,5,0,0,0,Kansas,Yes,$14.00 - $15.99
2020,Exempt,BAKER GROUNDS CARE LLC DBA THE GRO,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,El Dorado,Kansas,67042,9649,5,0,5,0,0,0,Kansas,Yes,$14.00 - $15.99
2020,2nd Half,BAKER LANDSCAPING & CONCRETE LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,House Springs,Missouri,63051,6590,20,0,20,0,0,0,Missouri,Yes,$14.00 - $15.99
2020,2nd Half,BALANCED ENVIRONMENTS INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,7790,70,0,70,0,0,0,Illinois,Yes,$10.00 - $11.99
2020,Exempt,BALD PEAK COLONY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Melvin Village,New Hampshire,3850,407,0,16,16,0,0,0,New Hampshire,No,$12.00 - $13.99
2020,Exempt,BALD PEAK COLONY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Melvin Village,New Hampshire,3850,407,0,4,4,0,0,0,New Hampshire,No,$18.00 - $19.99
2020,Exempt,BALD PEAK COLONY CLUB,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Melvin Village,New Hampshire,3850,407,0,2,2,0,0,0,New Hampshire,No,$10.00 - $11.99
2020,Exempt,BALD PEAK COLONY CLUB,71,"Arts, Entertainment, and Recreation",43,Office and Administrative Support Occupations,Melvin Village,New Hampshire,3850,407,0,3,3,0,0,0,New Hampshire,No,$12.00 - $13.99
2020,1st Half,BALMORAL FARM INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Los Angeles,California,90049,8934,6,0,6,0,0,0,California,Yes,$16.00 - $17.99
2020,2nd Half,BALSAM SHOPS INC,44-45,Retail Trade,35,Food Preparation and Serving Related Occupations,Mackinac Island,Michigan,49757,9628,6,0,6,0,0,0,Michigan,Yes,$10.00 - $11.99
2020,Exempt,BALSAM SHOPS INC,44-45,Retail Trade,41,Sales and Related Occupations,Mackinac Island,Michigan,49757,9628,0,0,0,0,1,1,Michigan,No,$10.00 - $11.99
2020,Exempt,BALTIMORE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Baltimore,Maryland,21210,6190,0,6,6,0,0,0,Maryland,No,$10.00 - $11.99
2020,Exempt,BALTIMORE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Baltimore,Maryland,21210,6190,0,1,1,0,0,0,Maryland,No,$12.00 - $13.99
2020,Exempt,BALTUSROL GOLF CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Springfield,New Jersey,7081,2220,0,1,1,0,0,0,New Jersey,No,$14.00 - $15.99
2020,2nd Half,BAQUE BROS CONCESSIONS INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Riverside,California,92505,6801,25,0,25,0,0,0,California,Yes,$12.00 - $13.99
2020,1st Half,BARGEE FARMS INC,11,"Agriculture, Forestry, Fishing and Hunting",39,Personal Care and Service Occupations,Allison Park,Pennsylvania,15101,8501,5,0,5,0,0,0,Pennsylvania,Yes,$10.00 - $11.99
2020,Exempt,BARNWELL LANDSCAPE AND GARDEN INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Westbury,New York,11590,5602,4,0,4,0,0,0,Michigan,No,$12.00 - $13.99
2020,1st Half,BARRETO FORESTRY CONTRACTING INC,11,"Agriculture, Forestry, Fishing and Hunting",45,"Farming, Fishing, and Forestry Occupations",Gloster,Mississippi,39638,7890,27,0,27,0,0,0,Mississippi,Yes,$14.00 - $15.99
2020,2nd Half,BARRIGON PLASTERING INC,23,Construction,47,Construction and Extraction Occupations,Lawrenceville,Georgia,30043,2898,24,0,24,0,0,0,Tennessee,Yes,$16.00 - $17.99
2020,2nd Half,BARTLETT LANDSCAPE LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Mansfield,Texas,76063,7011,4,0,4,0,0,0,Texas,Yes,$12.00 - $13.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,9,0,9,0,0,0,North Carolina,Yes,$12.00 - $13.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,17,0,17,0,0,0,North Carolina,Yes,$14.00 - $15.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,10,0,10,0,0,0,Pennsylvania,Yes,$14.00 - $15.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,26,0,26,0,0,0,South Carolina,Yes,$14.00 - $15.99
2020,1st Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,30,0,30,0,0,0,California,Yes,$16.00 - $17.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,12,0,12,0,0,0,Texas,Yes,$12.00 - $13.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,8,0,8,0,0,0,Arizona,Yes,$12.00 - $13.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,21,0,21,0,0,0,Texas,Yes,$14.00 - $15.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,11,0,11,0,0,0,Illinois,Yes,$14.00 - $15.99
2020,2nd Half,BARTLETT TREE EXPERTS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Stamford,Connecticut,6902,4490,24,0,24,0,0,0,Virginia,Yes,$14.00 - $15.99
2020,2nd Half,BASARABA EXCAVATING AND DIRTWORKS,23,Construction,53,Transportation and Material Moving Occupations,Wilton,North Dakota,58579,3497,7,0,7,0,0,0,North Dakota,Yes,$16.00 - $17.99
2020,1st Half,BATES BROTHERS AMUSEMENT CO,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Steubenville,Ohio,43953,7879,50,0,50,0,0,0,Ohio,Yes,$9.99 and under
2020,1st Half,BATH INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Fort Collins,Colorado,80525,3298,35,0,35,0,0,0,Colorado,Yes,$16.00 - $17.99
2020,Exempt,BATH INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Fort Collins,Colorado,80525,3298,15,0,15,0,0,0,Colorado,Yes,$16.00 - $17.99
2020,2nd Half,BAY CITY CRAB INC,31-33,Manufacturing,51,Production Occupations,Oriental,North Carolina,28571,5693,73,0,73,0,0,0,North Carolina,Yes,$9.99 and under
2020,Exempt,BAY CITY CRAB INC,31-33,Manufacturing,51,Production Occupations,Amherst,Virginia,24521,5693,0,38,38,0,0,0,North Carolina,No,$9.99 and under
2020,1st Half,BAY COLONY COMMUNITY ASSOC INC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Naples,Florida,34108,9394,22,0,22,0,0,0,Florida,Yes,$14.00 - $15.99
2020,Exempt,BAY COLONY COMMUNITY ASSOC INC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Naples,Florida,34108,9394,0,5,5,0,0,0,Florida,No,$16.00 - $17.99
2020,1st Half,BAY FRESH OYSTER INC,31-33,Manufacturing,51,Production Occupations,San Leon,Texas,77539,8977,25,0,25,0,0,0,Texas,Yes,$10.00 - $11.99
2020,2nd Half,BAYLEYS LOBSTER POUND,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Scarborough,Maine,4074,6137,5,0,5,0,0,0,Maine,Yes,$12.00 - $13.99
2020,1st Half,BAYOU LAND SEAFOOD LLC,31-33,Manufacturing,51,Production Occupations,Breaux Bridge,Louisiana,70517,5258,30,0,30,0,0,0,Louisiana,Yes,$9.99 and under
2020,2nd Half,BAYTREE LANDSCAPE CONTRACTORS INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,3417,9,0,9,0,0,0,Tennessee,Yes,$12.00 - $13.99
2020,2nd Half,BB STONEWORKS INC DBA LYONS SANDST,21,"Mining, Quarrying, and Oil and Gas Extraction",51,Production Occupations,Lovingston,Virginia,22949,9599,35,0,35,0,0,0,Colorado,Yes,$14.00 - $15.99
2020,1st Half,BC CHOP LLC DBA BEAVER CREEK CHOPH,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Avon,Colorado,81620,1323,10,0,10,0,0,0,Colorado,Yes,$14.00 - $15.99
2020,2nd Half,BC HARDSCAPES LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Westbury,New York,11590,5309,25,0,25,0,0,0,Missouri,Yes,$16.00 - $17.99
2020,2nd Half,BDG TREES LLC SHREVEPORT LA,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,4343,25,0,25,0,0,0,Louisiana,Yes,$12.00 - $13.99
2020,2nd Half,BDG TREES LLC SHREVEPORT LA,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,4343,25,0,25,0,0,0,Texas,Yes,$14.00 - $15.99
2020,Exempt,BDG TREES LLC SHREVEPORT LA,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Houston,Texas,77017,4343,0,11,11,0,0,0,Louisiana,No,$12.00 - $13.99
2020,Exempt,BDG TREES LLC SHREVEPORT LA,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,4343,0,13,13,0,0,0,Louisiana,No,$12.00 - $13.99
2020,2nd Half,BEACH HAVEN ASSOCS LLC DBA THE CHI,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Lovingston,Virginia,22949,1131,24,0,24,0,0,0,New Jersey,Yes,$12.00 - $13.99
2020,2nd Half,BEACH PLAZA INC,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Ocean City,Maryland,21842,1198,20,0,20,0,0,0,Maryland,Yes,$10.00 - $11.99
2020,Exempt,BEACH POINT CLUB INC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Mamaroneck,New York,10543,7222,2,0,2,0,0,0,New York,No,$16.00 - $17.99
2020,Exempt,BEACHEAD II LLC DBA BEACHEAD RESTA,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Block Island,Rhode Island,2807,3520,1,0,1,0,0,0,Rhode Island,Yes,$14.00 - $15.99
2020,Exempt,BEACON HILL SHOW STABLES INC,11,"Agriculture, Forestry, Fishing and Hunting",39,Personal Care and Service Occupations,Colts Neck,New Jersey,7722,3779,5,0,5,0,0,0,New Jersey,No,$14.00 - $15.99
2020,2nd Half,BEADLE LANDSCAPING LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Aberdeen,South Dakota,57401,2330,12,0,12,0,0,0,South Dakota,Yes,$12.00 - $13.99
2020,2nd Half,BEALLS GREENHOUSE NURSERY & SUPPLY,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Pittsburgh,Pennsylvania,15239,5994,6,0,6,0,0,0,Pennsylvania,Yes,$12.00 - $13.99
2020,1st Half,BEAR LAKES COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,West Palm Beach,Florida,33409,4425,4,0,4,0,0,0,Florida,Yes,$12.00 - $13.99
2020,Exempt,BEAR LAKES COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,West Palm Beach,Florida,33409,4425,0,12,12,0,0,0,Florida,No,$12.00 - $13.99
2020,1st Half,BEAUCOUP CRAWFISH OF EUNICE DBA RI,31-33,Manufacturing,51,Production Occupations,Eunice,Louisiana,70535,4277,250,0,250,0,0,0,Louisiana,Yes,$10.00 - $11.99
2020,1st Half,BEAUFORT INLET SEAFOOD CO INC,31-33,Manufacturing,53,Transportation and Material Moving Occupations,New Bern,North Carolina,28564,281,25,0,25,0,0,0,North Carolina,Yes,$10.00 - $11.99
2020,1st Half,BECKWITH FORESTRY SERVICE INC,11,"Agriculture, Forestry, Fishing and Hunting",45,"Farming, Fishing, and Forestry Occupations",Kilmichael,Mississippi,39747,9402,50,0,50,0,0,0,N/A,Yes,$14.00 - $15.99
2020,1st Half,BECKWITH FORESTRY SERVICE INC,11,"Agriculture, Forestry, Fishing and Hunting",45,"Farming, Fishing, and Forestry Occupations",Kilmichael,Mississippi,39747,9402,50,0,50,0,0,0,Mississippi,Yes,$14.00 - $15.99
2020,2nd Half,BEE LINE SPRINKLER INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Brighton,Colorado,80601,5029,10,0,10,0,0,0,Colorado,Yes,$16.00 - $17.99
2020,Exempt,BEECHWOOD LANDSCAPE ARCHITECTURE &,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,8228,0,1,1,0,0,0,New Jersey,No,$14.00 - $15.99
2020,2nd Half,BEGGING BURRO LLC D/B/A BEGGING BU,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Custer,South Dakota,57730,3703,15,0,15,0,0,0,South Dakota,Yes,$10.00 - $11.99
2020,2nd Half,BEGGING BURRO LLC D/B/A BEGGING BU,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Custer,South Dakota,57730,3703,10,0,10,0,0,0,South Dakota,Yes,$12.00 - $13.99
2020,Exempt,BEGGING BURRO LLC D/B/A BEGGING BU,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Custer,South Dakota,57730,3703,0,7,7,0,0,0,South Dakota,No,$10.00 - $11.99
2020,2nd Half,BELDON ROOFING COMPANY,23,Construction,47,Construction and Extraction Occupations,San Antonio,Texas,78213,6691,0,1,1,0,0,0,Texas,Yes,$14.00 - $15.99
2020,Exempt,BELLA INIZIO FARM LLC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Ocala,Florida,34482,5279,0,4,4,0,0,0,New York,No,$12.00 - $13.99
2020,1st Half,BELLE CITY AMUSEMENTS INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Deltona,Florida,32728,1449,45,0,45,0,0,0,Florida,Yes,$9.99 and under
2020,Exempt,BELLE CITY AMUSEMENTS INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Deltona,Florida,32728,1449,0,15,15,0,0,0,Florida,No,$9.99 and under
2020,Exempt,BELLE CITY AMUSEMENTS INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Deltona,Florida,32728,1449,45,0,45,0,0,0,Florida,Yes,$9.99 and under
2020,Exempt,BELLE MEADE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Nashville,Tennessee,37205,8180,1,0,1,0,0,0,Tennessee,No,$12.00 - $13.99
2020,Exempt,BELLE MEADE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Nashville,Tennessee,37205,8180,3,0,3,0,0,0,Tennessee,No,$9.99 and under
2020,2nd Half,BELLOWS GARDENS INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Westbury,New York,11590,9365,7,0,7,0,0,0,New York,Yes,$16.00 - $17.99
2020,2nd Half,BELTERRA CASINO RESORT,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Florence,Indiana,47020,9012,25,0,25,0,0,0,Indiana,Yes,$14.00 - $15.99
2020,2nd Half,BENBOW VALLEY INVESTMENTS DBA BENB,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Lovingston,Virginia,22949,5972,6,0,6,0,0,0,California,Yes,$12.00 - $13.99
2020,2nd Half,BENBOW VALLEY INVESTMENTS DBA BENB,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,5972,4,0,4,0,0,0,California,Yes,$12.00 - $13.99
2020,2nd Half,BENBOW VALLEY INVESTMENTS DBA BENB,72,Accommodation and Food Services,43,Office and Administrative Support Occupations,Lovingston,Virginia,22949,5972,5,0,5,0,0,0,California,Yes,$12.00 - $13.99
2020,Exempt,BENCHMARK BOOTHBAY LLC DBA SPRUCE,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Boothbay Harbor,Maine,4538,4480,0,16,16,0,0,0,Maine,No,$12.00 - $13.99
2020,Exempt,BENCHMARK BOOTHBAY LLC DBA SPRUCE,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Boothbay Harbor,Maine,4538,4480,0,4,4,0,0,0,Maine,No,$14.00 - $15.99
2020,Exempt,BENCHMARK BOOTHBAY LLC DBA SPRUCE,72,Accommodation and Food Services,43,Office and Administrative Support Occupations,Boothbay Harbor,Maine,4538,4480,0,2,2,0,0,0,Maine,No,$12.00 - $13.99
2020,2nd Half,BENCHMARK BOOTHBAY LLC DBA SPRUCE,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Boothbay Harbor,Maine,4538,4480,15,0,15,0,0,0,Maine,Yes,$12.00 - $13.99
2020,2nd Half,BENCHMARK BOOTHBAY LLC DBA SPRUCE,72,Accommodation and Food Services,43,Office and Administrative Support Occupations,Boothbay Harbor,Maine,4538,4480,5,0,5,0,0,0,Maine,Yes,$12.00 - $13.99
2020,2nd Half,BENGE LANDSCAPING INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Fountainville,Pennsylvania,18923,3050,5,0,5,0,0,0,Pennsylvania,Yes,$14.00 - $15.99
2020,1st Half,BENNY & SONS PINE STRAW LLC,11,"Agriculture, Forestry, Fishing and Hunting",37,Building and Grounds Cleaning and Maintenance Occupations,Live Oak,Florida,32060,7082,50,0,50,0,0,0,Florida,Yes,$10.00 - $11.99
2020,2nd Half,BENSON ENTERPRISES OF NEW YORK INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Victor,New York,14564,782,23,0,23,0,0,0,New York,Yes,$14.00 - $15.99
2020,1st Half,BENSON ENTERPRISES OF NEW YORK INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Victor,New York,14564,782,5,0,5,0,0,0,New York,Yes,$14.00 - $15.99
2020,2nd Half,BENTLEYS SALOON LLC,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Kennebunkport,Maine,4046,1860,4,0,4,0,0,0,Maine,Yes,$14.00 - $15.99
2020,2nd Half,BENTLEYS SALOON LLC,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Kennebunkport,Maine,4046,1860,2,0,2,0,0,0,Maine,Yes,$12.00 - $13.99
2020,Exempt,BEP LYMAN LLC DBA AUTOMATED BLDG C,31-33,Manufacturing,51,Production Occupations,Chetek,Wisconsin,54728,8504,0,10,10,0,0,0,Wisconsin,No,$14.00 - $15.99
2020,Exempt,BEP/LYMAN LLC DBA CARPENTRY CONTRA,31-33,Manufacturing,51,Production Occupations,Excelsior,Minnesota,55331,9896,0,8,8,0,0,0,Minnesota,No,N/A
2020,1st Half,BEP/LYMAN LLC DBA CARPENTRY CONTRA,31-33,Manufacturing,51,Production Occupations,Excelsior,Minnesota,55331,9296,15,0,15,0,0,0,Minnesota,Yes,$16.00 - $17.99
2020,2nd Half,BEP/LYMAN LLC DBA CARPENTRY CONTRA,31-33,Manufacturing,51,Production Occupations,Excelsior,Minnesota,55331,9296,15,0,15,0,0,0,Minnesota,Yes,$14.00 - $15.99
2020,Exempt,BEP/LYMAN LLC DBA CARPENTRY CONTRA,31-33,Manufacturing,51,Production Occupations,Excelsior,Minnesota,55331,9296,13,0,13,0,0,0,Minnesota,Yes,$18.00 - $19.99
2020,2nd Half,BERNS GREENHOUSE & GARDEN CTR INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,3701,8,0,8,0,0,0,Ohio,Yes,$14.00 - $15.99
2020,2nd Half,BEST HORTICULTURAL SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Marlboro,New Jersey,7746,1377,47,0,47,0,0,0,New Jersey,Yes,$16.00 - $17.99
2020,2nd Half,BEST SOLUTIONS USA LLC,56,Administrative and Waste Services,35,Food Preparation and Serving Related Occupations,Miami,Florida,33143,7633,20,0,20,0,0,0,South Carolina,Yes,$12.00 - $13.99
2020,2nd Half,BEST WESTERN PLAINS,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Wall,South Dakota,57790,4519,5,0,5,0,0,0,South Dakota,Yes,$10.00 - $11.99
2020,Exempt,BEST WESTERN PLAINS,72,Accommodation and Food Services,37,Building and Grounds Cleaning and Maintenance Occupations,Wall,South Dakota,57790,4519,0,1,1,0,0,0,South Dakota,No,$10.00 - $11.99
2020,2nd Half,BETHESDA COUNTRY CLUB INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Bethesda,Maryland,20817,5169,6,0,6,0,0,0,Maryland,Yes,$14.00 - $15.99
2020,2nd Half,BETTER TREE LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Old Bridge,New Jersey,8857,5487,2,0,2,0,0,0,New Jersey,Yes,$20.00 and more
2020,Exempt,BEVANS OYSTER COMPANY INC,31-33,Manufacturing,53,Transportation and Material Moving Occupations,Kinsale,Virginia,22488,6734,0,27,27,0,36,36,Virginia,No,$10.00 - $11.99
2020,2nd Half,BEVANS OYSTER COMPANY INC,31-33,Manufacturing,51,Production Occupations,Kinsale,Virginia,22488,6734,14,0,14,0,0,0,Virginia,Yes,$12.00 - $13.99
